,stato,citta,alt,lat,lon,superficie_media,produzione_media,superficie_std,produzione_std,temp_media,prec_media
19,bihar,purnia,44.0,25.77895,87.47422,41876.444444444445,80049.22222222222,2121.0912940695825,29370.5361918104,24.458333333333332,1064.3583333333333
20,bihar,saharsa,48.0,25.87498,86.59611,44072.333333333336,100836.44444444444,3531.078305560497,24467.00873171418,25.42069892473118,1064.3583333333333
21,bihar,samastipur,52.0,25.86222,85.77953,58258.88888888889,171134.33333333334,4458.4114167617045,43352.16158682287,25.42069892473118,1064.3583333333333
22,bihar,sheikhpura,54.0,25.13994,85.84096,21618.222222222223,50315.0,1572.835479140919,9615.64834007567,25.42069892473118,1064.3583333333333
23,bihar,sheohar,71.0,26.51393,85.29341,13701.333333333334,32998.333333333336,2639.1359381433917,12442.610738908455,25.42069892473118,1064.3583333333333
24,bihar,sitamarhi,70.0,26.59357,85.4906,73524.0,156348.77777777778,13331.004041331618,68028.72781733055,25.42069892473118,1064.3583333333333
25,bihar,siwan,71.0,26.22096,84.35609,93918.77777777778,237697.55555555556,2800.607781258283,49730.29077210164,25.42069892473118,1064.3583333333333
26,bihar,supaul,56.0,26.11527,86.59509,51015.0,96059.11111111111,5926.584619323342,21508.69858594683,25.42069892473118,1064.3583333333333
27,chhattisgarh,balod,329.0,20.73081,81.20578,3524.25,3602.75,141.41281177224826,654.7082683658934,25.42069892473118,1242.2666666666667
28,chhattisgarh,baloda bazar,259.0,21.65678,82.16062,4355.25,8159.0,152.78825216619242,636.379865593918,25.42069892473118,1242.2666666666667
29,chhattisgarh,balrampur,532.0,23.61219,83.61115,9690.75,15453.75,780.5614966163779,3514.391969696418,25.42069892473118,1242.2666666666667
30,chhattisgarh,balrampur,112.0,27.42949,82.18545,9690.75,15453.75,780.5614966163779,3514.391969696418,25.42069892473118,1242.2666666666667
31,chhattisgarh,bemetara,291.0,21.71556,81.53423,14811.25,15013.0,1995.4782843552405,2510.998606132628,25.42069892473118,1242.2666666666667
32,chhattisgarh,bilaspur,265.0,22.08005,82.15543,11342.222222222223,14083.444444444445,3757.5939036096547,3483.386036283917,25.42069892473118,1242.2666666666667
33,chhattisgarh,bilaspur,306.0,30.3045,77.30424,11342.222222222223,14083.444444444445,3757.5939036096547,3483.386036283917,25.42069892473118,1242.2666666666667
34,chhattisgarh,bilaspur,496.0,31.33027,76.75663,11342.222222222223,14083.444444444445,3757.5939036096547,3483.386036283917,25.42069892473118,1242.2666666666667
35,chhattisgarh,bilaspur,199.0,28.88655,79.2703,11342.222222222223,14083.444444444445,3757.5939036096547,3483.386036283917,25.42069892473118,1242.2666666666667
36,chhattisgarh,bilaspur,207.0,28.39128,77.62421,11342.222222222223,14083.444444444445,3757.5939036096547,3483.386036283917,25.42069892473118,1242.2666666666667
37,chhattisgarh,dhamtari,325.0,20.70718,81.54874,1314.5555555555557,1769.888888888889,643.2530822139743,931.1878763767875,25.42069892473118,1242.2666666666667
38,chhattisgarh,durg,303.0,21.19147,81.27619,14999.555555555555,14728.777777777777,8424.795844872311,7694.896714345453,25.42069892473118,1242.2666666666667
39,chhattisgarh,kanker,401.0,20.27193,81.49177,700.3333333333334,1180.5555555555557,165.52190187404204,285.38443856976124,26.208333333333332,1242.2666666666667
40,chhattisgarh,kondagaon,597.0,19.59083,81.664,136.5,280.5,13.796134724383254,20.30599254735738,25.42069892473118,1242.2666666666667
41,chhattisgarh,korba,289.0,22.3458,82.69633,677.5555555555555,676.8888888888889,21.07789785006506,136.69440775361335,25.42069892473118,1242.2666666666667
42,chhattisgarh,mahasamund,299.0,21.10743,82.0948,1203.888888888889,1813.5555555555557,184.65335391243534,290.2443415086292,25.42069892473118,1242.2666666666667
43,chhattisgarh,mungeli,287.0,22.06566,81.68543,5758.0,7895.25,135.50153750665223,485.5425659335475,25.42069892473118,1242.2666666666667
