Geoname ID,Name,ASCII Name,Alternate Names,Latitude,Longitude,Population,Digital Elevation Model,Country,Coordinates
1255478,Sumbal,Sumbal,Sumbal,34.23072,74.6472,11695,1585,India,"34.23072, 74.6472"
1255640,Sr?mushnam,Srimushnam,"Srimushnam,Srimushnum,Sr?mushnam",11.40118,79.40384,12364,33,India,"11.40118, 79.40384"
1255704,Soron,Soron,"Soron,?????",27.89055,78.74621,28683,177,India,"27.89055, 78.74621"
1256104,S?ra,Sira,"Sira,S?ra",13.74155,76.9043,57928,654,India,"13.74155, 76.9043"
1256207,Sindhn?r,Sindhnur,"Sindhnur,Sindhn?r",15.76983,76.75581,68793,395,India,"15.76983, 76.75581"
1256269,Sillod,Sillod,Sillod,20.30303,75.65284,51042,616,India,"20.30303, 75.65284"
1256558,Shertallai,Shertallai,"Shertalla,Shertallai,Shertally",9.68581,76.33996,45474,9,India,"9.68581, 76.33996"
1256825,Seoni,Seoni,Seoni,31.24188,77.12362,1630,668,India,"31.24188, 77.12362"
1257004,Sathankulam,Sathankulam,"Sattankulam,S?tt?nkulam",8.44164,77.91349,14084,25,India,"8.44164, 77.91349"
1257503,Samr?la,Samrala,"Samrala,Samr?la",30.83601,76.19324,18623,271,India,"30.83601, 76.19324"
1257830,Sagauli,Sagauli,"Saganli,Sagauli,Saghauli,Sagowlee,Segowlee,Segowlie,Sugauli",26.7639,84.74341,34622,75,India,"26.7639, 84.74341"
1257845,Saugor,Saugor,"Sagar,Saugor,S?gar,?????",23.83877,78.73874,247333,520,India,"23.83877, 78.73874"
1258213,Renigunta,Renigunta,"Renigunta,lei ni gong ta,renigunta,renigunta mandala,renikunta,???? ????,???????? ?????,??????????,??????????,??????????,????????,????",13.65143,79.51256,25895,112,India,"13.65143, 79.51256"
1258270,R?z?m,Razam,"Rajam,Razam,R?j?m,R?z?m",18.44909,83.65957,27832,72,India,"18.44909, 83.65957"
1258294,Raxaul,Raxaul,"Raksaul,Rasaul,Raxaul,Raxaul Bazar,la ke ao er ba zha er,raja'ula bajara,raksaula,raksula bajara,???????,??????,?????? ?????,??????,?????? ????,???????",26.97982,84.85065,47965,86,India,"26.97982, 84.85065"
1258534,R?n?v?v,Ranavav,"Ranavav,Ranawao,R?n?v?v,R?n?w?o",21.68734,69.74485,26011,29,India,"21.68734, 69.74485"
1258658,R?mj?banpur,Ramjibanpur,"Ramjibanpur,R?mj?banpur",22.82815,87.60888,18318,29,India,"22.82815, 87.60888"
1258928,R?jaldesar,Rajaldesar,"Rajaldesar,R?jaldesar",28.02849,74.47442,24104,308,India,"28.02849, 74.47442"
1258952,Raisen,Raisen,Raisen,23.33033,77.7811,40977,448,India,"23.33033, 77.7811"
1259039,Rah?,Raha,,26.23333,92.51667,4724,64,India,"26.23333, 92.51667"
1259075,Radaur,Radaur,Radaur,30.02706,77.15177,12328,270,India,"30.02706, 77.15177"
1259294,Puduppatti,Puduppatti,Puduppatti,11.15217,78.21205,7570,156,India,"11.15217, 78.21205"
1259688,Pilibangan,Pilibangan,"Pilibanga,Pilibangan",29.44964,74.10093,36755,179,India,"29.44964, 74.10093"
1259701,Pih?n?,Pihani,"Pihani,Pih?ni,Pih?n?",27.61987,80.20343,30369,149,India,"27.61987, 80.20343"
1259878,Periyanayakkanpalaiyam,Periyanayakkanpalaiyam,"Periyanaikanpalayam,Periyanayakkanpalaiyam,Periyan?yakkanp?laiyam,periyanayakkanpalaiyam,????????????????????",11.15255,76.95159,24894,429,India,"11.15255, 76.95159"
1259898,Peraiyur,Peraiyur,"Paryur,Peraiyur,Peraiy?r",9.73579,77.78955,9244,173,India,"9.73579, 77.78955"
1260178,Pat?mundai,Patamundai,"Patamudai,Patamundai,Pat?mundai",20.57806,86.56063,34400,7,India,"20.57806, 86.56063"
1260313,Par?chhatgarh,Parichhatgarh,,28.97841,77.93422,18990,232,India,"28.97841, 77.93422"
1260959,P?chora,Pachora,"Pachora,P?chora",20.66727,75.35305,46823,262,India,"20.66727, 75.35305"
1262032,Nambutalai,Nambutalai,Nambutalai,9.72766,79.00707,7914,6,India,"9.72766, 79.00707"
1262382,Mush?bani,Mushabani,"Mosaboni,Mosaboni Mines,Musabani,Mushabani,Mush?bani",22.51135,86.45713,32761,122,India,"22.51135, 86.45713"
1262485,Mungaoli,Mungaoli,"Mungaoli,Mungaol?",24.40837,78.09588,20081,410,India,"24.40837, 78.09588"
1262678,Mubarakpur,Mubarakpur,"Azamgarh,Mubarakpur,Mub?rakpur",26.08866,83.29088,53263,81,India,"26.08866, 83.29088"
1263012,Miri?lg?da,Mirialguda,"Mirialguda,Miriyalguda,Miri?lg?da,Miryalguda",16.8722,79.56247,101234,134,India,"16.8722, 79.56247"
1263764,Mangaw?n,Mangawan,"Mangawan,Mangaw?n",24.66754,81.54644,12503,310,India,"24.66754, 81.54644"
1263807,Maner,Maner,"Maner,Maner Sharif,Manera,??????",25.64602,84.87291,27901,67,India,"25.64602, 84.87291"
1264070,Malkera,Malkera,Malkera,23.78213,86.28767,12591,186,India,"23.78213, 86.28767"
1264525,M?dugula,Madugula,"Madugula,M?dugula",17.91589,82.81578,14741,97,India,"17.91589, 82.81578"
1264643,Machhl?shahr,Machhlishahr,"Machhlishahr,Machhl?shahr",25.68564,82.41106,25247,98,India,"25.68564, 82.41106"
1264890,Lingsug?r,Lingsugur,"Lingsugur,Lingsug?r",16.15876,76.52174,29783,509,India,"16.15876, 76.52174"
1265085,L?nja,Lanja,"Lanja,L?nja",16.86086,73.54993,13121,139,India,"16.86086, 73.54993"
1265830,Kuchaiburi,Kuchaiburi,"Kuchaiburi,Rairangpur",22.26675,86.17385,23072,268,India,"22.26675, 86.17385"
1265873,Kozhikode,Kozhikode,"CCJ,Calecute,Calicut,Calicutium,City of Spices,Kal'kutta,Kalicut,Kalikuto,Kojikode,Kolikod,Kozhikkot,Kozhikod,Kozhikode,Kozikkot,Kozikode,Kozsikode,Kozsíkóde,Kožikod?,Kóžikkót,kajahikode,kajhikada,kalikotu,kalykwt,karikatto,ke ze ke de,kealikkeat,kealikkeat jilla,kho chi khod,kojhikora,kojikodeu,kolikkot,kolikkota,kolikkotu,kolikod,kolikoda,kolikora,qwzyqwd,?????????,???????,????????,????????,???????,???????,???????,??????,???????,????????,?????????,???????,??????????,????????,?????,????????,??????????,????????,??????????,????????,??????????,?????????? ?????,???????????,???????,?????,????,????",11.24802,75.7804,439922,9,India,"11.24802, 75.7804"
1266135,Korampallam,Korampallam,Korampallam,8.77506,78.09158,3228,9,India,"8.77506, 78.09158"
1267014,Kh?npur,Khanpur,"Khanpur,Kh?npur",28.53446,78.06546,14688,211,India,"28.53446, 78.06546"
1267226,Keshorai P?tan,Keshorai Patan,,25.29275,75.93948,23464,254,India,"25.29275, 75.93948"
1267558,Kasr?wad,Kasrawad,"Kasrawad,Kasr?wad",22.12745,75.61101,21484,182,India,"22.12745, 75.61101"
1252753,Yelbarga,Yelbarga,Yelbarga,15.61545,76.01184,12023,604,India,"15.61545, 76.01184"
1252758,Yelahanka,Yelahanka,"Yelahanka,yalahanka,ye la han ka,yelahanka,???????,?????,???????????,?????,????",13.10073,77.59632,116447,903,India,"13.10073, 77.59632"
1253403,Varangaon,Varangaon,Varangaon,21.01767,75.91042,44067,223,India,"21.01767, 75.91042"
1253671,Usilampatti,Usilampatti,Usilampatti,9.96936,77.78621,30675,217,India,"9.96936, 77.78621"
1253782,Una,Una,Una,31.46493,76.26914,17569,395,India,"31.46493, 76.26914"
1253914,Ujjain,Ujjain,"Uddzhajn,Uddzsain,Uddzsaín,Udzajin,Udzdzain,Udždžain,Ujjain,ajyn,awjayn,awjayyn,awjyn,ujain,ujaina,ujaini,ujjain,ujjaina,ujjayini,ujjeyan,wu du yan na,???????,??????,????,???????,??????,?????,?????,??????,?????????,??????,?????,??????,????????,???????,????????,???????,??????,??????,????,???",23.18239,75.77643,457346,494,India,"23.18239, 75.77643"
1254000,Bara Uch?na,Bara Uchana,"Bara Uchana,Bara Uch?na,Uchana,Uch?na",29.46747,76.17798,15830,229,India,"29.46747, 76.17798"
1254131,Tuf?nganj,Tufanganj,"Tufanganj,Tuf?nganj",26.31688,89.66549,20420,41,India,"26.31688, 89.66549"
1254304,Titl?garh,Titlagarh,"Titilagarh,Titlagar,Titlagarh,Titl?garh",20.28961,83.15233,28405,217,India,"20.28961, 83.15233"
1254436,Tinnan?r,Tinnanur,"Thiruninravur,Tinnanur,Tinnan?r",13.11448,80.02713,22125,36,India,"13.11448, 80.02713"
1254842,T?ttayyang?rpettai,Tattayyangarpettai,,11.12417,78.44916,12604,145,India,"11.12417, 78.44916"
1255024,T?nd?,Tanda,"Tanda,T?nd?",26.54953,82.65841,88073,95,India,"26.54953, 82.65841"
1255130,Talen,Talen,Talen,23.56949,76.72821,9818,436,India,"23.56949, 76.72821"
1255383,S?rajgarh,Surajgarh,"Surajgarh,S?rajgarh",28.31005,75.73271,19721,298,India,"28.31005, 75.73271"
1256122,Sini,Sini,Sini,22.79325,85.94543,6375,193,India,"22.79325, 85.94543"
1256717,Sh?hpur,Shahpur,,23.02446,81.0038,9394,736,India,"23.02446, 81.0038"
1256755,Sh?h?b?d,Shahabad,"Hardoi,Shahabad,Sh?h?b?d",27.6431,79.9402,73606,149,India,"27.6431, 79.9402"
1257156,Sarka Gh?t,Sarka Ghat,,31.69887,76.73529,3944,958,India,"31.69887, 76.73529"
1257167,Sar?la,Sarila,"Sarila,Sar?la",25.77579,79.67535,8012,148,India,"25.77579, 79.67535"
1257268,Sar?i ?kil,Sarai Akil,,25.3789,81.51035,17443,107,India,"25.3789, 81.51035"
1257366,Sankheda,Sankheda,Sankheda,22.17021,73.5782,12077,68,India,"22.17021, 73.5782"
1257611,Saligao,Saligao,Saligao,15.55359,73.79036,5804,6,India,"15.55359, 73.79036"
1257890,Sadashivpet,Sadashivpet,"Sadaseopet,Sadashivpet,Sadasivpet,Sad?seopet",17.61925,77.95263,37245,550,India,"17.61925, 77.95263"
1258247,Rehli,Rehli,"Rehli,Rehl?",23.63722,79.06275,27705,406,India,"23.63722, 79.06275"
1258724,R?m?puram,Ramapuram,"Ramapuram,Ram?puram,R?m?puram",15.28749,77.86722,5961,462,India,"15.28749, 77.86722"
1258726,R?m?puram,Ramapuram,,13.10091,79.1841,31169,283,India,"13.10091, 79.1841"
1258847,R?jkot,Rajkot,"RAJ,Radzhkot,Radzkot,Radzkotas,Rad?kot,Radžkotas,Rajkot,R?jkot,rajikotto,???????,??????",22.29161,70.79322,1177362,140,India,"22.29161, 70.79322"
1258967,R?ipur,Raipur,"Raipur,R?ipur",30.31097,78.08979,27702,680,India,"30.31097, 78.08979"
1259229,Pune,Pune,"PNQ,Pona,Poona,Poune,Pun,Puna,Pune,Puneo,Puno,Puné,Púna,bwnh,poona,pu na,puna,pune,pune sahara,punyapattanam,pwna,pwnh,pwny,pwn?,?????,????,????,????,?????,????,????,????,????,????,????,????,???? ???,????????????,????,????,????,????,????,????,????,????,????,???,??,??",18.51957,73.85535,2935744,554,India,"18.51957, 73.85535"
1259292,Pud?r,Pudur,,12.99801,79.14352,11432,234,India,"12.99801, 79.14352"
1259385,Port Blair,Port Blair,"IXZ,Port Blair,Port Bler,Port Bleras,Port-Blehr,Port-Bler,Portus Blairensis,bu lai er gang,porata bale'ara,port bler,port piler,porta blera,porta bleyara,portableyara,poteubeulleeo,potoburea,pwrt blr,pwrt blyyr,???? ????,????-????,????-????,???? ?????,???? ???,???? ?????,????? ??????,????? ?????,???????????,????? ????????,???? ?????,????? ?????,????? ??????,?????? ??????,?????? ??????,??????? ??????,??????????,????-?????,??????,????,?????",11.66613,92.74635,112050,36,India,"11.66613, 92.74635"
1260129,Patharia,Patharia,Patharia,23.89921,79.19393,18358,377,India,"23.89921, 79.19393"
1260221,Parvatsar,Parvatsar,"Parbatsar,Parvatsar",26.88604,74.76602,15405,434,India,"26.88604, 74.76602"
1260456,Ponmana,Ponmana,"Panmana,Ponmana",9.00798,76.52023,29139,5,India,"9.00798, 76.52023"
